independence_block_id,disease_context,source_accession_or_id,target_accession_or_id,layer,nominal_N_source,nominal_N_target,platform_source,platform_target,resource,named_dataset_reused_in_census,lung_or_colorectal_used,duplicate_dependency_control,status,evidence_url,notes
OV01,ovarian cancer,TCGAOVARIAN,GSE12418,bulk transcriptomics,536,54,TCGA ovarian expression resource (exact platform frozen at M6),SWEGENE H_v2.1.1_27k,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV02,ovarian cancer,GSE9891,GSE30161,bulk transcriptomics,276,58,Affymetrix HG-U133 Plus 2.0,Affymetrix HG-U133 Plus 2.0,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV03,ovarian cancer,GSE32062,GSE6822,bulk transcriptomics,257,62,Agilent G4112F / GPL6480,Affymetrix Hu6800,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV04,ovarian cancer,GSE49997,PMID15897565,bulk transcriptomics,204,63,ABI Human Genome Survey array,Affymetrix HG-U133A,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV05,ovarian cancer,GSE26712,GSE14764,bulk transcriptomics,191,79,Affymetrix HG-U133A,Affymetrix HG-U133A,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV06,ovarian cancer,GSE51088,GSE8842,bulk transcriptomics,172,83,Agilent G4110B,Agilent G4100A cDNA,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV07,ovarian cancer,GSE13876,GSE6008,bulk transcriptomics,157,101,Operon v3 two-colour,Affymetrix HG-U133A,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV08,ovarian cancer,GSE20565,GSE18520,bulk transcriptomics,135,59,Affymetrix HG-U133 Plus 2.0,Affymetrix HG-U133 Plus 2.0,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
OV09,ovarian cancer,E-MTAB-386,GSE17260,bulk transcriptomics,129,110,Illumina humanRef-8 v2.0,Agilent G4112A,MetaGxOvarian,NO,NO,MetaGxOvarian loader removes highly correlated duplicate patients by default; final M6 audit also collapses publication/study derivatives before matching.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.posit.co/packages/3.24/data/experiment/vignettes/MetaGxOvarian/inst/doc/MetaGxOvarian.html,Counts from current MetaGxOvarian vignette; retracted PMID17290060 and targeted qRT-PCR GSE30009 are excluded.
BR01,breast cancer,GSE48091,GSE16391,bulk transcriptomics,623,55,GPL10379 custom Affymetrix Human RSTA,Affymetrix family,MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
